20.07.2018,15:20,Столкновение,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),126,650,47.864449,56.916605,0,0,1,0
11.07.2018,12:10,Столкновение,"Республика Марий Эл, Оршанский, пгт Оршанка",ул Советская,202,,,,47.885145,56.926349,0,0,3,0
27.05.2018,04:50,Опрокидывание,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),123,950,47.883933,56.900203,0,0,2,0
16.05.2018,05:45,Наезд на препятствие,"Республика Марий Эл, Оршанский, д Чирки",ул Нагорная,22,,,,48.231547,56.895802,0,0,3,0
05.05.2018,15:40,Столкновение,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),126,650,47.864417,56.916634,0,0,2,0
01.05.2018,21:20,Наезд на пешехода,"Республика Марий Эл, Оршанский, пгт Оршанка",ул Советская,100,,,,47.896292,56.914836,0,0,1,0
16.03.2018,08:24,Столкновение,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),116,990,47.925408,56.838619,1,0,4,0
25.02.2018,08:10,Опрокидывание,"Республика Марий Эл, Оршанский",,,Воробьи - Табашино,0,850,47.866068,56.962742,0,0,1,0
05.02.2018,23:45,Столкновение,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),123,28,47.901756,56.899521,0,0,1,0
21.01.2018,15:55,Столкновение,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),134,500,47.870645,56.979836,0,0,2,0
08.01.2018,09:30,Съезд с дороги,"Республика Марий Эл, Оршанский",,,Р-176 Вятка Чебоксары - Йошкар-Ола - Киров - Сыктывкар (основное направление),127,450,47.866513,56.92201,0,0,1,0
17.11.2018,17:16,Опрокидывание,"Республика Марий Эл, Новоторъяльский",,,Новый Торъял - Малый Шуйбеляк - Шуйдур,2,901,48.720374,56.965334,0,0,1,0
26.09.2018,12:05,Столкновение,"Республика Марий Эл, Новоторъяльский",,,Оршанка - Пектубаево - Новый Торъял,56,990,48.683918,56.993759,0,0,2,0
17.09.2018,15:10,Наезд на пешехода,"Республика Марий Эл, Новоторъяльский, с Старый Торъял",ул Центральная,21,,,,48.795755,56.966989,0,0,1,0
18.08.2018,13:55,Опрокидывание,"Республика Марий Эл, Новоторъяльский",,,Сосновка - Малая Шимшурга - Крюковцы,1,563,48.364735,57.112199,0,0,1,0
01.08.2018,08:40,Наезд на велосипедиста,"Республика Марий Эл, Новоторъяльский, пгт Новый Торъял",ул Юбилейная,2,,,,48.74078,57.005166,0,0,1,0
12.07.2018,19:53,Опрокидывание,"Республика Марий Эл, Новоторъяльский, пгт Новый Торъял",ул Колхозная,2А,,,,48.732369,57.006895,1,0,1,0
20.06.2018,08:00,Столкновение,"Республика Марий Эл, Новоторъяльский",,,Нурсола - Новый Торъял,19,900,48.743623,56.989581,3,0,2,0
17.06.2018,03:00,Съезд с дороги,"Республика Марий Эл, Новоторъяльский, с Масканур",ул Советская,12,,,,48.640192,57.120862,0,0,1,0
20.03.2018,08:25,Наезд на стоящее ТС,"Республика Марий Эл, Новоторъяльский, пгт Новый Торъял",,,,0,0,48.6955,57.0276,1,0,0,0
13.01.2018,18:50,Наезд на пешехода,"Республика Марий Эл, Новоторъяльский",,,Нурсола - Новый Торъял,18,49,48.754149,56.8753,1,0,0,0
31.12.2018,13:00,Столкновение,"Республика Марий Эл, Моркинский",,,Звенигово - Шелангер - Морки,91,150,48.94436,56.429371,0,0,3,0
28.12.2018,17:10,Наезд на пешехода,"Республика Марий Эл, Моркинский",,,Морки - Уньжинский,1,150,49.019773,56.421877,0,0,1,0
25.11.2018,13:45,Наезд на препятствие,"Республика Марий Эл, Моркинский",,,Звенигово - Шелангер - Морки,70,30,48.700354,56.329167,0,0,1,0
05.10.2018,03:00,Опрокидывание,"Республика Марий Эл, Моркинский",,,Морки - Уньжинский,1,500,49.022176,56.421296,0,0,1,0
13.09.2018,14:10,Столкновение,"Республика Марий Эл, Моркинский",,,Звенигово - Шелангер - Морки,91,190,48.945186,56.429235,0,0,3,0
22.08.2018,21:00,Столкновение,"Республика Марий Эл, Моркинский",,,Звенигово - Шелангер - Морки,72,650,48.734697,56.341573,0,0,2,0
11.06.2018,10:30,Опрокидывание,"Республика Марий Эл, Моркинский, д Вонжеполь",ул Речная,1,,,,48.653877,56.360335,0,0,1,0
31.03.2018,19:00,Опрокидывание,"Республика Марий Эл, Моркинский, д Нижняя",ул Набережная,1,,,,49.142465,56.574371,0,0,1,0
23.01.2018,14:20,Столкновение,"Республика Марий Эл, Моркинский",,,Звенигово - Шелангер - Морки,87,650,48.88771,56.426,0,0,2,0
22.01.2018,17:20,Наезд на пешехода,"Республика Марий Эл, Моркинский, пгт Морки",ул Советская,81,,,,49.004731,56.439696,0,0,1,0
07.12.2018,12:00,Падение пассажира,"Республика Марий Эл, Мари-Турекский, пгт Мари-Турек",ул Красноармейская,53а,,,,49.611694,56.781475,0,0,1,0
22.11.2018,09:00,Опрокидывание,"Республика Марий Эл, Мари-Турекский",,,Йошкар-Ола - Уржум,129,700,49.623356,56.983928,0,0,2,0
06.11.2018,03:30,Опрокидывание,"Республика Марий Эл, Мари-Турекский",,,Елеево - Мари-Турек - Лопово,58,800,50.134563,56.562226,0,0,3,0
12.10.2018,10:00,Наезд на пешехода,"Республика Марий Эл, Мари-Турекский, пгт Мари-Турек",,,,0,0,49.631746,56.791501,1,0,0,0
07.10.2018,22:30,Опрокидывание,"Республика Марий Эл, Мари-Турекский",,,Объездная автодорога пгт Мари-Турек,0,500,49.648848,56.78144,0,0,1,0
25.09.2018,06:00,Столкновение,"Республика Марий Эл, Мари-Турекский, пгт Мари-Турек",ул Строителей,3,Елеево - Мари-Турек - Лопово,,,49.640715,56.776773,1,0,15,0
26.08.2018,10:00,Наезд на пешехода,"Республика Марий Эл, Мари-Турекский, д Мари-Посенур",,,,0,0,50.117569,56.548508,0,0,1,0
23.08.2018,10:20,Столкновение,"Республика Марий Эл, Мари-Турекский",,,Елеево - Мари-Турек - Лопово,29,232,49.699209,56.738627,0,0,2,0
22.08.2018,02:00,Наезд на пешехода,"Республика Марий Эл, Мари-Турекский",,,Нижняя Мосара - Русская Мосара,1,951,49.949834,56.677168,0,0,1,0
13.08.2018,07:55,Наезд на велосипедиста,"Республика Марий Эл, Мари-Турекский, д Большой Карлыган",ул Багаева,2а,,,,50.058067,56.568492,0,0,1,0
